,RunId,iteration,Step,N,r,dr,mr,altruistic fraction
0,0,0,0,1000,0.5,0.95,0.0001,0.4693333333333333
1,0,0,1,1000,0.5,0.95,0.0001,0.47533333333333333
2,0,0,2,1000,0.5,0.95,0.0001,0.4613333333333333
3,0,0,3,1000,0.5,0.95,0.0001,0.458
4,0,0,4,1000,0.5,0.95,0.0001,0.4533333333333333
5,0,0,5,1000,0.5,0.95,0.0001,0.4766666666666667
6,0,0,6,1000,0.5,0.95,0.0001,0.4713333333333333
7,0,0,7,1000,0.5,0.95,0.0001,0.45
8,0,0,8,1000,0.5,0.95,0.0001,0.45466666666666666
9,0,0,9,1000,0.5,0.95,0.0001,0.4766666666666667
10,0,0,10,1000,0.5,0.95,0.0001,0.462
11,0,0,11,1000,0.5,0.95,0.0001,0.4746666666666667
12,0,0,12,1000,0.5,0.95,0.0001,0.48733333333333334
13,0,0,13,1000,0.5,0.95,0.0001,0.51
14,0,0,14,1000,0.5,0.95,0.0001,0.5013333333333333
15,0,0,15,1000,0.5,0.95,0.0001,0.48333333333333334
16,0,0,16,1000,0.5,0.95,0.0001,0.4866666666666667
17,0,0,17,1000,0.5,0.95,0.0001,0.48933333333333334
18,0,0,18,1000,0.5,0.95,0.0001,0.49666666666666665
19,0,0,19,1000,0.5,0.95,0.0001,0.5126666666666667
20,0,0,20,1000,0.5,0.95,0.0001,0.5086666666666667
21,0,0,21,1000,0.5,0.95,0.0001,0.49133333333333334
22,0,0,22,1000,0.5,0.95,0.0001,0.5066666666666667
23,0,0,23,1000,0.5,0.95,0.0001,0.506
24,0,0,24,1000,0.5,0.95,0.0001,0.498
25,0,0,25,1000,0.5,0.95,0.0001,0.4686666666666667
26,0,0,26,1000,0.5,0.95,0.0001,0.4886666666666667
27,0,0,27,1000,0.5,0.95,0.0001,0.488
28,0,0,28,1000,0.5,0.95,0.0001,0.49733333333333335
29,0,0,29,1000,0.5,0.95,0.0001,0.4806666666666667
30,0,0,30,1000,0.5,0.95,0.0001,0.482
31,0,0,31,1000,0.5,0.95,0.0001,0.4766666666666667
32,0,0,32,1000,0.5,0.95,0.0001,0.46
33,0,0,33,1000,0.5,0.95,0.0001,0.44533333333333336
